complaint_text,category
Shipment was dispatched to the wrong distribution hub in a different state. This is unacceptable service and needs urgent escalation.,Delivery Issue
The coupon code discount of 20% was omitted from my final generated invoice. No one is addressing this despite multiple attempts.,Billing Issue
My UPI transfer to merchant 96079 got debited but the merchant says payment not received. Looking forward to a quick resolution from your side.,Payment Issue
Items were missing from my shipment box when I opened the sealed parcel. Kindly investigate and provide an update today.,Delivery Issue
I am unable to change my account username and security credentials.,Account Issue
The amount Rs 3500 was billed to my card but the transaction status shows incomplete. Please look into this as soon as possible.,Payment Issue
Customer care email address is bouncing back with mailbox quota exceeded. This is impacting my daily workflow severely.,Service Issue
Money deducted from card but website displayed error code PAY_24871.,Payment Issue
The oversize item was refused delivery by the apartment security with no resolution. Please take necessary action to fix this.,Delivery Issue
Image upload fails with error code 413 payload too large for small photos. Looking forward to a quick resolution from your side.,Technical Issue
Registered email address has a typo and I cannot verify my new user account. This has happened multiple times this week.,Account Issue
My billing receipt has incorrect company details and wrong GST number. I have been facing this problem since yesterday.,Billing Issue
Delivery address was updated before dispatch yet shipment was sent to old address. No one is addressing this despite multiple attempts.,Delivery Issue
The map navigation feature shows roads that no longer exist. I have been facing this problem since yesterday.,Technical Issue
"I requested a refund 7 days ago for a failed payment, still haven't received my money back. I need an immediate resolution or refund.",Payment Issue
Filter dropdown is not functioning and freezes the browser tab.,Technical Issue
My loyalty points balance reset to zero after account migration.,Account Issue
My billing cycle date changed without notification causing mid-month deduction.,Billing Issue
My address was on the package label but the shipment went to another city entirely.,Delivery Issue
The oversize item was refused delivery by the apartment security with no resolution. No one is addressing this despite multiple attempts.,Delivery Issue
Double billing on my monthly recurring statement for invoice #39937.,Billing Issue
The tracking link shared via SMS leads to a broken 404 page. I need an immediate resolution or refund.,Delivery Issue
Card payment gateway timeout caused double charging on the same invoice. This is unacceptable service and needs urgent escalation.,Payment Issue
I was not given any delivery OTP prompt and the item was handed to someone else. Urgent attention required for this critical issue.,Delivery Issue
Two-factor authentication 2FA code generated by authenticator app is rejected as invalid. Please look into this as soon as possible.,Account Issue
Security deposit of Rs 15499 was not reflected as credit in the final bill.,Billing Issue
The discount applied at sales time is not reflected in the final tax invoice. Very frustrating experience with this platform.,Billing Issue
Order shipment #72205 is lost in transit and logistics support has no update. This is impacting my daily workflow severely.,Delivery Issue
I am unable to change my profile username and security credentials.,Account Issue
Late payment fee charged even though I paid 5 days before the due date. Awaiting your prompt reply and action.,Billing Issue
Dark mode toggle breaks the layout and causes overlapping text elements.,Technical Issue
